"","video","Bias","positive","negative","sentiment","lgpp","nrc_el","topic"
"288074","mDQHDj6_yVM","",36,19,"positive","ENVIRONMENT","positive","society"
"288075","mDS32LEe1Ss","",124,98,"positive","GROUPS","joy","military"
"288076","mDcws6MxHT8","LC",64,50,"positive","CULTURE","surprise","economy"
"288083","mDk_1C7ipiI","",NA,NA,NA,NA,NA,NA
"288084","mDlM1Itms5U","",NA,NA,NA,NA,NA,NA
"288086","mDp-ABzpRX8","",12,6,"positive","LAW_AND_ORDER","negative","military"
"288087","mDqETkMVQWE","L",140,10,"positive","CULTURE","joy","economy"
"288088","mDqLG28m_Eo","",88,88,"positive","VALUES","positive","society"
"288099","mE2fSvbmWFs","LC",6,5,"positive","ECONOMY","sadness","economy"
"288109","mE2yE0lgqLg","",429,121,"positive","INSTITUTIONS","trust","economy"
"288112","mEArJXD8YFY","",NA,NA,NA,NA,NA,NA
"288114","mEGUT2YjTe0","",6,2,"positive","CULTURE","joy","economy"
"288115","mEH9kVbNX3A","LC",NA,NA,NA,NA,NA,NA
"288118","mEI_39C5E2o","C",NA,NA,NA,NA,NA,NA
"288120","mEK2pIiZ2I0","C",150,159,"negative","VALUES","negative","economy"
"288124","mEPMRoBUAkA","C",65,66,"negative","ENVIRONMENT","disgust","society"
"288125","mEU0stNfkxI","",199,87,"positive","RURAL","surprise","diplomacy"
"288134","mEU9t8lryO0","",NA,NA,NA,NA,NA,NA
"288135","mEUkzumQWoU","",131,113,"positive","CULTURE","joy","society"
"288137","mEVuLHTksZM","",NA,NA,NA,NA,NA,NA
"288138","mEX_MAGrBto","",89,27,"positive","CULTURE","disgust","society"
"288139","mEcm5ptW3fo","",95,14,"positive","URBAN","surprise","diplomacy"
"288140","mEmyl0uWwtE","",152,250,"negative","LAW_AND_ORDER","negative","military"
"288141","mErdVnlmERM","LC",104,37,"positive","ENVIRONMENT","anticipation","economy"
"288145","mEtUcaIT-Us","LC",18,4,"positive","INSTITUTIONS","joy","politics"
"288148","mEtwhvtDwWQ","",117,47,"positive","INSTITUTIONS","trust","politics"
"288149","mF-aexQfeTM","",NA,NA,NA,NA,NA,NA
"288150","mF1VFlCnLQ4","",NA,NA,NA,NA,NA,NA
"288151","mF3Qy5qwjQ4","",29,50,"negative","INSTITUTIONS","trust","politics"
"288152","mF5G31PObss","",137,27,"positive","GROUPS","joy","diplomacy"
"288159","mF5TEwMAq8k","",73,53,"positive","URBAN","surprise","society"
"288160","mF5TQio-1c8","",NA,NA,NA,NA,NA,NA
"288162","mFBtZxpP8aQ","",NA,NA,NA,NA,NA,NA
"288166","mFCl541Dtfo","",NA,NA,NA,NA,NA,NA
"288167","mFJGULT9jiM","",210,80,"positive","GROUPS","disgust","military"
"288168","mFJb55D84dc","",NA,NA,NA,NA,NA,NA
"288169","mFNeNnSrep4","L",NA,NA,NA,NA,NA,NA
"288170","mFNxXfwlP3A","",434,465,"negative","ENVIRONMENT","disgust","diplomacy"
"288204","mFO83rEnIDw","",NA,NA,NA,NA,NA,NA
"288206","mFP_AjJeP-M","",NA,NA,NA,NA,NA,NA
"288248","mFVlhqEU5vc","L",54,10,"positive","URBAN","surprise","society"
"288250","mFezoY0_Oy4","",NA,NA,NA,NA,NA,NA
"288251","mFgyGOoRAXA","",20,14,"positive","CULTURE","joy","economy"
"288252","mFktQvl_8dg","",NA,NA,NA,NA,NA,NA
"288254","mFm2KW_5FIY","",NA,NA,NA,NA,NA,NA
"288256","mFm3yA1nslE","",NA,NA,NA,NA,NA,NA
"288257","mFwzgXnxG30","",NA,NA,NA,NA,NA,NA
"288258","mFzUw-FF5_o","RC",NA,NA,NA,NA,NA,NA
"288260","mG2627ZyLlQ","L",NA,NA,NA,NA,NA,NA
"288261","mG63aqAj-pQ","",NA,NA,NA,NA,NA,NA
"288270","mG6LqCndqjY","",63,35,"positive","LAW_AND_ORDER","joy","military"
"288271","mGG1XNRcceU","",NA,NA,NA,NA,NA,NA
"288272","mGHUZ3ncz5A","",NA,NA,NA,NA,NA,NA
"288277","mGInhUOW5CA","",91,70,"positive","URBAN","surprise","society"
"288278","mGUI6JmdEOo","R",138,91,"positive","ENVIRONMENT","disgust","society"
"288285","mGVbLHJZz0U","",160,264,"negative","GROUPS","sadness","military"
"288287","mGVz7eD1x-k","LC",NA,NA,NA,NA,NA,NA
"288288","mGXHr6kGdaU","LC",NA,NA,NA,NA,NA,NA
"288292","mGYEfW2KUVU","",180,65,"positive","GROUPS","joy","military"
"288293","mGYmiQkah4o","C",40,11,"positive","ENVIRONMENT","positive","society"
"288320","mGe2zBC1W3c","",161,60,"positive","ENVIRONMENT","disgust","diplomacy"
"288321","mGhAT72J2I4","",23,35,"negative","CULTURE","sadness","society"
"288323","mGnhUpvGn3M","",NA,NA,NA,NA,NA,NA
"288325","mGoxNs5pB9c","",NA,NA,NA,NA,NA,NA
"288326","mH0oCDa74tE","",NA,NA,NA,NA,NA,NA
"288327","mH9qPE-H34g","",NA,NA,NA,NA,NA,NA
"288331","mHIZWBdn6q0","",NA,NA,NA,NA,NA,NA
"288332","mHONNcZbwDY","",18,10,"positive","CULTURE","joy","economy"
"288333","mHPXs8d8D6Q","C",42,14,"positive","INSTITUTIONS","sadness","politics"
"288339","mHQ1Z6pUb-o","L",NA,NA,NA,NA,NA,NA
"288403","mHQHP7cCg0c","",751,278,"positive","VALUES","trust","economy"
"288408","mHS-0GWzG-A","",28,32,"negative","VALUES","joy","politics"
"288409","mHTvg9ZDTyo","",36,10,"positive","RURAL","disgust","diplomacy"
"288411","mHWMy9cc7b0","",20,2,"positive","CULTURE","joy","society"
"288413","mHasBjRJAbc","LC",NA,NA,NA,NA,NA,NA
"288414","mHgaRSegbK0","",363,105,"positive","GROUPS","joy","society"
"288415","mHkLDX8uoCI","",150,33,"positive","ECONOMY","sadness","economy"
"288416","mHlpEbhNyh0","L",NA,NA,NA,NA,NA,NA
"288417","mHoQ9VLzbZ4","",30,13,"positive","ECONOMY","joy","politics"
"288418","mHtqiE74K54","",76,31,"positive","ECONOMY","anticipation","economy"
"288419","mI-z3iopas8","",NA,NA,NA,NA,NA,NA
"288420","mI1m46fLztU","",NA,NA,NA,NA,NA,NA
"288421","mI4qPlYaf9k","C",34,69,"negative","VALUES","joy","politics"
"288446","mI6IzPCmIW8","C",137,110,"positive","INSTITUTIONS","surprise","diplomacy"
"288458","mIBx2ec4az0","",90,19,"positive","VALUES","joy","politics"
"288459","mIDh3yjWKcg","",42,14,"positive","URBAN","surprise","diplomacy"
"288461","mIHM5e5Yo8E","",NA,NA,NA,NA,NA,NA
"288465","mIHWFOGshKE","",NA,NA,NA,NA,NA,NA
"288466","mILyDspXiJw","",462,139,"positive","CULTURE","joy","economy"
"288467","mIQ4ddp6YHQ","",149,53,"positive","ECONOMY","surprise","economy"
"288468","mIYzp5rcTvU","",NA,NA,NA,NA,NA,NA
"288470","mIbwNzu1ZkU","",NA,NA,NA,NA,NA,NA
"288471","mIg5_3RVw1I","",176,33,"positive","GROUPS","joy","military"
"288472","mIjbwSSs0M0","",NA,NA,NA,NA,NA,NA
"288473","mIq2fxoPIqM","",NA,NA,NA,NA,NA,NA
"288474","mIreLQ2whEQ","",NA,NA,NA,NA,NA,NA
"288475","mIue8JSUeU8","LC",NA,NA,NA,NA,NA,NA
"288481","mJ7z-5Kjz44","",141,24,"positive","CULTURE","anger","diplomacy"
"288482","mJ9njPkGEho","",349,228,"positive","INSTITUTIONS","trust","politics"
"288483","mJBlgIA3K24","",45,32,"positive","ECONOMY","anger","politics"
"288485","mJI0hVV-5Vs","",731,494,"positive","VALUES","sadness","society"
"288486","mJMlH1xRLd4","LC",NA,NA,NA,NA,NA,NA
"288497","mJZqKKFn3Hk","",NA,NA,NA,NA,NA,NA
"288502","mJbnF9TBthU","",NA,NA,NA,NA,NA,NA
"288503","mJhDT4dpos0","",440,204,"positive","ECONOMY","anticipation","economy"
"288504","mJk1VDGwlWY","",NA,NA,NA,NA,NA,NA
"288505","mJlCMfAn3VU","",192,94,"positive","INSTITUTIONS","trust","politics"
"288506","mJxsj51d-Pk","",NA,NA,NA,NA,NA,NA
"288507","mK0MltvFFdE","",314,174,"positive","VALUES","positive","politics"
"288509","mK2kTTIsEqw","",55,23,"positive","ECONOMY","trust","politics"
"288510","mK3CaJgaJ6w","",NA,NA,NA,NA,NA,NA
"288511","mKCQ1NjXSEU","",309,188,"positive","ECONOMY","positive","economy"
"288515","mK_HmEFxCpI","",32,11,"positive","INSTITUTIONS","trust","politics"
"288518","mKah3ngmieQ","",375,349,"positive","INSTITUTIONS","sadness","politics"
"288519","mKdAsymo9Lk","",65,18,"positive","CULTURE","joy","economy"
"288520","mKe_zTlOoJ8","",NA,NA,NA,NA,NA,NA
"288521","mKfieias2jI","C",89,92,"negative","INSTITUTIONS","sadness","politics"
"288522","mKnQXaIlrMo","",38,4,"positive","CULTURE","joy","society"
"288523","mKnW-YJbeWk","",212,42,"positive","CULTURE","joy","economy"
"288529","mKqmplOanHU","",NA,NA,NA,NA,NA,NA
"288531","mL-H_hV9mmA","",NA,NA,NA,NA,NA,NA
"288532","mL0m8BmxNq8","",NA,NA,NA,NA,NA,NA
"288533","mL6GjXRCLxc","",320,202,"positive","VALUES","positive","economy"
"288534","mL8vyizkB48","",53,87,"negative","ECONOMY","surprise","economy"
"288535","mLBd3SgfuhQ","C",NA,NA,NA,NA,NA,NA
"288551","mLDLBGgFcSU","",NA,NA,NA,NA,NA,NA
"288552","mLHBFyfvK8A","",NA,NA,NA,NA,NA,NA
"288553","mLJO_88pSnU","",NA,NA,NA,NA,NA,NA
"288555","mLJQGAm-GTM","",NA,NA,NA,NA,NA,NA
"288556","mLMpGcF3kXI","",47,69,"negative","GROUPS","joy","society"
"288557","mLOCxCpp5D0","",181,94,"positive","GROUPS","joy","society"
"288558","mLOFdxV8B4Q","",NA,NA,NA,NA,NA,NA
"288561","mLQiz30lfZM","",92,88,"positive","LAW_AND_ORDER","fear","military"
"288567","mLW6ZOKbq3Y","",198,314,"negative","LAW_AND_ORDER","fear","military"
"288568","mLY-6B9Szno","L",56,21,"positive","CULTURE","disgust","economy"
"288569","mLgfmOxZiGE","",144,58,"positive","LAW_AND_ORDER","anger","politics"
"288571","mLhgYoeMMdw","",NA,NA,NA,NA,NA,NA
"288573","mLlXgIx4stw","",16,6,"positive","ECONOMY","trust","economy"
"288575","mLpnGF7DsSg","",NA,NA,NA,NA,NA,NA
"288576","mLs-HD27WOo","",160,106,"positive","INSTITUTIONS","joy","military"
"288577","mLxW-Y8xevg","",NA,NA,NA,NA,NA,NA
"288579","mM3VIu2fKaA","",50,10,"positive","CULTURE","disgust","economy"
"288584","mMEWz9uzlF4","",103,36,"positive","CULTURE","joy","economy"
"288585","mMNtNyX8o7Y","",107,100,"positive","GROUPS","joy","society"
"288586","mMR9OS4qggM","",321,79,"positive","ECONOMY","positive","economy"
"288598","mMUyTWOhHIw","",NA,NA,NA,NA,NA,NA
"288599","mMYhgTgE6MU","C",77,117,"negative","VALUES","negative","economy"
"288613","mM_Vo3Zx5u4","LC",164,66,"positive","CULTURE","joy","economy"
"288618","mMpQBWH-RwA","RC",278,268,"positive","VALUES","sadness","politics"
"288619","mMraxhd9Z9Q","",NA,NA,NA,NA,NA,NA
"288620","mMuy58DaqOk","",NA,NA,NA,NA,NA,NA
"288621","mN3X-pHRTmk","",NA,NA,NA,NA,NA,NA
"288622","mN3z3eSVG7A","",33,17,"positive","INSTITUTIONS","trust","politics"
"288626","mNBmG24djoY","",NA,NA,NA,NA,NA,NA
"288630","mNHXW-O5XZI","LC",57,33,"positive","INSTITUTIONS","anger","politics"
"288669","mNSAdV7ogd8","",NA,NA,NA,NA,NA,NA
"288673","mNav-xkY7h4","",NA,NA,NA,NA,NA,NA
"288675","mNcdlLIOdNw","LC",NA,NA,NA,NA,NA,NA
"288677","mNg02F6FY_0","LC",NA,NA,NA,NA,NA,NA
"288678","mNiqpBNE9ik","LC",99,61,"positive","INSTITUTIONS","trust","politics"
"288681","mNqcd-NwImk","RC",NA,NA,NA,NA,NA,NA
"288692","mNro9x3B7K4","LC",NA,NA,NA,NA,NA,NA
"288698","mNtWTdQbrng","",NA,NA,NA,NA,NA,NA
"288700","mNyc9VeufLc","",NA,NA,NA,NA,NA,NA
"288701","mO4qhwEPshw","",NA,NA,NA,NA,NA,NA
"288702","mO6eMTKalRE","C",39,33,"positive","RURAL","fear","military"
"288703","mOQ6CccQ4I0","",281,79,"positive","ECONOMY","sadness","economy"
"288704","mOVPStnVgvU","LC",100,152,"negative","INSTITUTIONS","anger","politics"
"288715","mO_rAsMuAlM","",286,143,"positive","ECONOMY","sadness","economy"
"288719","mOctrS7j8dg","L",33,27,"positive","CULTURE","anticipation","economy"
"288720","mOlynlKPR-8","C",137,67,"positive","VALUES","sadness","society"
"288724","mOrRJBqm744","",NA,NA,NA,NA,NA,NA
"288725","mOuUiHbb76Y","",214,99,"positive","URBAN","surprise","society"
"288726","mP2FmbhU_-k","",123,119,"positive","URBAN","surprise","military"
"288727","mP8dllTkpEg","",794,521,"positive","VALUES","joy","society"
"288730","mP8uwS1sBYY","",265,108,"positive","URBAN","joy","economy"
"288740","mPEfArQU7tc","LC",NA,NA,NA,NA,NA,NA
"288744","mPG2G9zg9uU","",NA,NA,NA,NA,NA,NA
"288745","mPMMmZDcGUg","",NA,NA,NA,NA,NA,NA
"288746","mPU37_BrDRg","",437,162,"positive","CULTURE","joy","economy"
"288747","mPUPyqo8nOg","",NA,NA,NA,NA,NA,NA
"288748","mPWxmhy0HS8","",250,98,"positive","GROUPS","anger","politics"
"288749","mPbFxEGzCaM","",NA,NA,NA,NA,NA,NA
"288750","mPceNIB5tXE","",1136,222,"positive","CULTURE","positive","society"
"288751","mPjgRKW_Jmk","LC",126,120,"positive","URBAN","anger","politics"
"288769","mPnfrTz5SS0","",108,43,"positive","ENVIRONMENT","disgust","diplomacy"
"288770","mPoCzVidssA","",NA,NA,NA,NA,NA,NA
"288771","mPpKhxtFf1Q","",10,17,"negative","URBAN","surprise","diplomacy"
"288772","mPwBxYRDmQI","",NA,NA,NA,NA,NA,NA
"288776","mPxUV1NoR-o","LC",NA,NA,NA,NA,NA,NA
"288789","mQ0hS7l9ckY","",NA,NA,NA,NA,NA,NA
"288790","mQ24UTG9ZC4","",309,223,"positive","VALUES","negative","society"
"288792","mQ4qQ4mMiw0","",103,13,"positive","ENVIRONMENT","disgust","diplomacy"
"288793","mQ56054dHf0","",NA,NA,NA,NA,NA,NA
"288794","mQ5Xet7qPdw","",NA,NA,NA,NA,NA,NA
"288795","mQEF6BRKwFQ","L",85,41,"positive","ENVIRONMENT","joy","society"
"288797","mQEGPegvnuM","",NA,NA,NA,NA,NA,NA
"288798","mQJ6BzB9TPQ","",NA,NA,NA,NA,NA,NA
"288799","mQPEZdBTOeE","C",NA,NA,NA,NA,NA,NA
"288800","mQPLrZQ6IfY","R",55,38,"positive","LAW_AND_ORDER","anger","politics"
"288810","mQPjKSVe1tQ","",NA,NA,NA,NA,NA,NA
"288812","mQ_KOvXIaE0","L",NA,NA,NA,NA,NA,NA
"288816","mQi324fnxKw","R",41,12,"positive","INSTITUTIONS","anger","politics"
"288821","mQlSZ2EqgU8","",47,3,"positive","VALUES","joy","politics"
"288822","mQmpcuCP-hc","",NA,NA,NA,NA,NA,NA
"288825","mQnjFynBJyE","LC",NA,NA,NA,NA,NA,NA
"288830","mQoZPuL08dQ","LC",106,43,"positive","ECONOMY","trust","politics"
"288835","mQuk5e8ON-E","",NA,NA,NA,NA,NA,NA
"288836","mQvuK6DZwR0","RC",NA,NA,NA,NA,NA,NA
"288838","mQyPZsoRoCc","LC",11,5,"positive","CULTURE","anticipation","diplomacy"
"288839","mR2VifNd-_E","L",87,70,"positive","CULTURE","anger","military"
"288845","mR5i0lI3xrw","",198,221,"negative","RURAL","fear","military"
"288857","mR8tkbSGD4w","",1305,429,"positive","INSTITUTIONS","negative","economy"
"288860","mR9c9BWeukk","",185,73,"positive","CULTURE","anticipation","diplomacy"
"288861","mRA0rSiVpO8","RC",81,81,"positive","LAW_AND_ORDER","anger","politics"
"288862","mRADCzmEX6w","",NA,NA,NA,NA,NA,NA
"288865","mRMF4b0GcCw","",652,413,"positive","URBAN","anticipation","diplomacy"
"288866","mRMtl8RwzuM","LC",143,61,"positive","CULTURE","joy","economy"
"288872","mRNIcerXzLw","",NA,NA,NA,NA,NA,NA
"288873","mRRAe_duPOc","",13,2,"positive","GROUPS","joy","military"
"288874","mRWPqwyukGY","C",102,34,"positive","VALUES","sadness","society"
"288875","mRf8l9KF5F8","",NA,NA,NA,NA,NA,NA
"288876","mRgBzz-YhGY","",191,36,"positive","LAW_AND_ORDER","positive","politics"
"288878","mRi180Kkb6Y","",NA,NA,NA,NA,NA,NA
"288879","mRsa2wb0aTs","C",19,18,"positive","RURAL","disgust","diplomacy"
"288880","mRwTyYzNUMI","",80,15,"positive","CULTURE","anticipation","economy"
"288881","mRyZI5ktvA0","",149,37,"positive","GROUPS","joy","military"
"288882","mRzML4LC0xA","",328,198,"positive","VALUES","fear","politics"
"288911","mS3TeZEp_PE","",NA,NA,NA,NA,NA,NA
"288913","mS5WYp5xmvI","RC",321,199,"positive","INSTITUTIONS","positive","politics"
"289210","mS9CFBlLOcg","",240,128,"positive","ECONOMY","sadness","economy"
"289252","mSAZGunkx7c","",399,114,"positive","VALUES","joy","politics"
"289253","mSD6sMqclCQ","C",NA,NA,NA,NA,NA,NA
"289254","mSJ-bPLTNQs","",777,550,"positive","VALUES","negative","economy"
"289255","mSS53HuIQGs","LC",76,110,"negative","LAW_AND_ORDER","fear","society"
"289256","mSVPp9PRTK0","",131,38,"positive","CULTURE","joy","society"
"289257","mSakVUpvTZY","",NA,NA,NA,NA,NA,NA
"289260","mSbYQz3rluM","",78,12,"positive","GROUPS","negative","society"
"289261","mSfUhYNz2xo","",NA,NA,NA,NA,NA,NA
"289262","mShzz2_FLrY","R",34,12,"positive","CULTURE","joy","politics"
"289263","mSi0kmqOBu4","C",93,16,"positive","VALUES","positive","diplomacy"
"289264","mSiJ7fS6QxQ","LC",NA,NA,NA,NA,NA,NA
"289267","mSojdo1v30Y","LC",NA,NA,NA,NA,NA,NA
"289268","mT0RNrTDHkI","",469,218,"positive","RURAL","surprise","diplomacy"
"289289","mT0mWHzhbRo","",121,35,"positive","RURAL","surprise","diplomacy"
"289293","mT4EWCRfdUg","",NA,NA,NA,NA,NA,NA
"289294","mTJb6QgQaSU","RC",NA,NA,NA,NA,NA,NA
"289295","mTOqfed5CDg","",NA,NA,NA,NA,NA,NA
"289298","mTVGfptJE8U","",NA,NA,NA,NA,NA,NA
"289299","mTX3X1JOqak","",NA,NA,NA,NA,NA,NA
"289301","mThWJFGy9-I","C",97,86,"positive","ECONOMY","negative","economy"
"289304","mTm1RRnaSEs","",NA,NA,NA,NA,NA,NA
"289306","mTnFe40sndI","LC",NA,NA,NA,NA,NA,NA
"289307","mTqHWHgyD0s","C",NA,NA,NA,NA,NA,NA
"289308","mTqKCMUDNFI","",358,187,"positive","VALUES","negative","economy"
"289314","mTwS9_PReM4","C",83,26,"positive","RURAL","surprise","diplomacy"
"289315","mU2dhPlJWyY","",93,64,"positive","VALUES","fear","politics"
"289316","mU4lZBOpy90","",74,42,"positive","GROUPS","anticipation","economy"
"289319","mU9BrjdnZaA","",NA,NA,NA,NA,NA,NA
"289320","mUBxtTEOiPI","",50,104,"negative","LAW_AND_ORDER","fear","economy"
"289321","mUD1mFR9dCs","",NA,NA,NA,NA,NA,NA
"289322","mUGCGweE4VE","",20,6,"positive","CULTURE","joy","society"
"289325","mUQMTFfewZc","LC",NA,NA,NA,NA,NA,NA
"289326","mURWJfSpS7k","",116,27,"positive","VALUES","positive","military"
"289331","mUTY_WOOjC0","",88,13,"positive","RURAL","negative","military"
"289332","mUTwkt1mLzk","",NA,NA,NA,NA,NA,NA
"289333","mUosdCQsMkM","",20,13,"positive","URBAN","joy","economy"
"289334","mUqeBMP8nEg","LC",148,112,"positive","GROUPS","joy","military"
"289417","mUuiFbJCH9M","",154,55,"positive","ECONOMY","anticipation","diplomacy"
"289418","mUyBbhNbXGc","",NA,NA,NA,NA,NA,NA
"289419","mV6RM5bADXE","",170,47,"positive","CULTURE","joy","society"
"289421","mV77roj5NFU","LC",NA,NA,NA,NA,NA,NA
"289423","mV8bK1GAKco","",NA,NA,NA,NA,NA,NA
"289424","mVBxgWnB5sc","L",50,33,"positive","LAW_AND_ORDER","trust","diplomacy"
"289441","mVJI6UUZ0g4","",137,30,"positive","GROUPS","joy","society"
"289442","mVSS6zK8xL4","LC",NA,NA,NA,NA,NA,NA
"289443","mVTTsxVmxxU","LC",53,32,"positive","GROUPS","disgust","politics"
"289444","mVbqBRivoq8","",NA,NA,NA,NA,NA,NA
"289446","mVbrgBjZm60","",90,58,"positive","LAW_AND_ORDER","negative","society"
"289466","mVcL6_xV010","LC",NA,NA,NA,NA,NA,NA
"289467","mVfqyDRRul4","L",NA,NA,NA,NA,NA,NA
"289468","mVo6fnHJaHU","L",12,11,"positive","INSTITUTIONS","anger","politics"
"289474","mVw-WZexnjM","LC",NA,NA,NA,NA,NA,NA
"289475","mW1sR6mlrhk","LC",NA,NA,NA,NA,NA,NA
"289476","mW6r2_FJ6tI","",304,89,"positive","ECONOMY","surprise","economy"
"289477","mWNT-wWiKz8","",63,9,"positive","ECONOMY","sadness","economy"
"289478","mWSVB7FMmoE","",407,156,"positive","VALUES","joy","society"
"289479","mWTPzZq4ORo","",NA,NA,NA,NA,NA,NA
"289485","mWXdAWaOdhE","",1040,730,"positive","VALUES","positive","politics"
"289486","mWYFwl93uCM","",120,98,"positive","LAW_AND_ORDER","joy","military"
"289506","mWbuFGNYx5U","",643,390,"positive","INSTITUTIONS","trust","politics"
"289507","mWj1ZEQTI8I","",138,79,"positive","URBAN","anticipation","diplomacy"
"289508","mWtfpM0CnX8","",50,36,"positive","LAW_AND_ORDER","negative","politics"
"289512","mWurgPgNIYo","",NA,NA,NA,NA,NA,NA
"289518","mWvIqGlFhIo","",NA,NA,NA,NA,NA,NA
"289519","mWwXmH-n5Bo","",NA,NA,NA,NA,NA,NA
"289520","mWyJvohEFj8","",16,7,"positive","CULTURE","disgust","economy"
"289521","mX4ifT_4EA4","L",NA,NA,NA,NA,NA,NA
"289535","mX9_G8pMrLY","",NA,NA,NA,NA,NA,NA
"289536","mXCrlE5G2IA","",69,25,"positive","CULTURE","surprise","economy"
"289538","mXEYtgr6vd8","",NA,NA,NA,NA,NA,NA
"289539","mXKq9IqpPrQ","",NA,NA,NA,NA,NA,NA
"289543","mXL3F5HvCr8","LC",62,98,"negative","VALUES","negative","politics"
"289544","mXQuto1fMp4","LC",108,106,"positive","INSTITUTIONS","trust","politics"
"289650","mXVGIb3bzHI","",87,39,"positive","LAW_AND_ORDER","anger","politics"
"289673","mXehoFeMRlI","L",NA,NA,NA,NA,NA,NA
"289701","mXi7P8hrN4w","",NA,NA,NA,NA,NA,NA
"289704","mXpGXmNh7MI","",NA,NA,NA,NA,NA,NA
"289705","mXw-hEB263k","",24,15,"positive","VALUES","negative","society"
"289723","mXyYYuUQloI","L",NA,NA,NA,NA,NA,NA
"289724","mY3hoodBGiU","",NA,NA,NA,NA,NA,NA
"289725","mY5V5iWun8E","",43,13,"positive","GROUPS","sadness","diplomacy"
"289727","mYGVXmp9r0w","",1079,441,"positive","RURAL","fear","military"
"289728","mYKUJXiADNY","",NA,NA,NA,NA,NA,NA
"289737","mYO_aV3h6ZY","",NA,NA,NA,NA,NA,NA
"289738","mYXNe46Uk7Y","LC",11,5,"positive","VALUES","positive","society"
"289739","mY_a6evuNEo","",111,51,"positive","URBAN","surprise","society"
"289741","mYcLuWHzfmE","",204,116,"positive","URBAN","surprise","diplomacy"
"289742","mYfWzBh2KIw","",23,14,"positive","GROUPS","joy","military"
"289743","mYglZmTRWho","",NA,NA,NA,NA,NA,NA
"289744","mYndtGt46GU","LC",38,4,"positive","ECONOMY","sadness","economy"
"289760","mYnpZZQ95Rc","",483,336,"positive","CULTURE","disgust","society"
"289764","mYpek69F7xI","",NA,NA,NA,NA,NA,NA
"289765","mYsHk4fWrxU","",443,204,"positive","URBAN","anticipation","diplomacy"
"289767","mYsOFXnfsCU","",59,19,"positive","LAW_AND_ORDER","fear","military"
"289774","mYucAuUrdTs","",468,179,"positive","URBAN","anger","diplomacy"
"289775","mZ4SRr--SZU","RC",16,27,"negative","INSTITUTIONS","trust","politics"
"289788","mZ7bgkFgqJQ","",38,15,"positive","ENVIRONMENT","negative","military"
"289789","mZ8rhpxVpqs","",NA,NA,NA,NA,NA,NA
"289790","mZCeR5y1l7Q","C",137,41,"positive","GROUPS","positive","military"
"289792","mZF8tDFX0gc","",511,172,"positive","ECONOMY","sadness","economy"
"289794","mZYgzW2fS0o","",NA,NA,NA,NA,NA,NA
"289795","mZaf36juNFY","",NA,NA,NA,NA,NA,NA
"289796","mZdtl1YkGps","",34,10,"positive","INSTITUTIONS","positive","politics"
"289799","mZpmj-2jiHk","",NA,NA,NA,NA,NA,NA
"289800","mZyk9XIacOc","LC",NA,NA,NA,NA,NA,NA
"289803","m_5MkGbXXKc","",NA,NA,NA,NA,NA,NA
"289808","m_69w9ueBGo","",431,177,"positive","ECONOMY","anger","economy"
"289809","m_CSiGcTZ8E","",65,48,"positive","RURAL","fear","military"
"289810","m_HR_o0jDqw","",20,18,"positive","VALUES","anger","politics"
"289812","m_S8xGJCLFg","",2,3,"negative","GROUPS","anger","society"
"289814","m_TnAlf6Hy8","",328,270,"positive","URBAN","sadness","society"
"289817","m_UGLf9mUg8","",171,63,"positive","URBAN","joy","society"
"289864","m_UjYOfmkn8","",32,13,"positive","VALUES","anger","politics"
"289866","m__dvDw_T54","LC",118,39,"positive","ECONOMY","trust","politics"
"289868","m_eEiHC5EHU","L",0,2,"negative","LAW_AND_ORDER","surprise","military"
"289877","m_p52WrspEE","C",NA,NA,NA,NA,NA,NA
"289878","m_q_Y0U1QcI","",358,238,"positive","ECONOMY","sadness","economy"
"289895","m_wg9l3iF8o","",111,51,"positive","VALUES","anticipation","military"
"289897","ma05Nsd4YTU","",NA,NA,NA,NA,NA,NA
"289898","maCRgwBEKVc","LC",56,43,"positive","CULTURE","negative","society"
"289900","maIOQwPZ7-E","",NA,NA,NA,NA,NA,NA
"289968","maK99435UyI","",NA,NA,NA,NA,NA,NA
"289969","maNr_0zK5VQ","",526,68,"positive","LAW_AND_ORDER","positive","society"
"289970","maQsMsoSL54","",NA,NA,NA,NA,NA,NA
"289971","maSnUt_1gdc","",NA,NA,NA,NA,NA,NA
"289972","maVM6lL1qKI","",165,83,"positive","ENVIRONMENT","sadness","society"
"289973","maVZ8Gb9-E0","",690,575,"positive","INSTITUTIONS","positive","politics"
"289974","maXD3AMTTec","",NA,NA,NA,NA,NA,NA
"289975","maZnwuGxAA8","",135,51,"positive","URBAN","surprise","diplomacy"
"289976","maaaxT6q6dI","LC",33,17,"positive","INSTITUTIONS","fear","politics"
"289979","mabjJJDqjFM","C",NA,NA,NA,NA,NA,NA
"289981","mapNINtApX8","",91,47,"positive","RURAL","anticipation","economy"
"289983","mawimNM0kdw","",NA,NA,NA,NA,NA,NA
"289984","may2s9j4RLk","C",27,11,"positive","RURAL","positive","military"
"289987","maywlXFRxrs","",NA,NA,NA,NA,NA,NA
"289988","mb2E02HsLiM","",383,87,"positive","LAW_AND_ORDER","joy","military"
"289990","mbA7-rviD3g","L",21,5,"positive","ENVIRONMENT","joy","society"
"290027","mbBX_OdyB5A","",28,14,"positive","URBAN","negative","society"
"290030","mbNctEUO294","",NA,NA,NA,NA,NA,NA
